CANMOREID,URL,XCOORD,YCOORD,Geological,Palaeolithic,Mesolithic,Neolithic,Bronze_Age,Iron_Age,Early_Medieval,Later_Medieval,Pre_Industrial,Post_Industrial,Modern,Term_Count
306911,https://canmore.org.uk/site/306911/,331415,696667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
306912,https://canmore.org.uk/site/306912/,330404,695503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
306913,https://canmore.org.uk/site/306913/,329760,694141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
306914,https://canmore.org.uk/site/306914/,325015,700089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.13,53.87,35
306915,https://canmore.org.uk/site/306915/,324742,701238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,70.29,4
297458,https://canmore.org.uk/site/297458/,310540,682310,0.0,0.0,0.0,0.0,0.0,2.65,4.52,4.52,4.52,42.62,41.17,60
300244,https://canmore.org.uk/site/300244/,309200,687924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12,35.67,40.21,39
300245,https://canmore.org.uk/site/300245/,324000,708000,0.0,0.0,0.0,0.0,80.71,0.0,0.0,0.0,0.0,9.65,9.65,5
300247,https://canmore.org.uk/site/300247/,294200,686320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.98,54.02,22
297976,https://canmore.org.uk/site/297976/,329530,682307,0.0,0.0,0.0,0.0,6.38,6.38,6.38,0.0,0.0,31.51,49.33,59
297977,https://canmore.org.uk/site/297977/,329277,682915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13
305765,https://canmore.org.uk/site/305765/,359795,708393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.61,12.61,21.52,53.26,10
306870,https://canmore.org.uk/site/306870/,328470,704967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69,15.69,25.22,43.41,28
306871,https://canmore.org.uk/site/306871/,312366,682753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
306872,https://canmore.org.uk/site/306872/,311425,684082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,85.71,10
306873,https://canmore.org.uk/site/306873/,310655,685479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
306874,https://canmore.org.uk/site/306874/,309644,686718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,24.94,57.07,13
306875,https://canmore.org.uk/site/306875/,307834,686932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.18,58.82,20
306876,https://canmore.org.uk/site/306876/,306267,686551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,70.29,4
306877,https://canmore.org.uk/site/306877/,303085,686258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.74,67.26,26
306878,https://canmore.org.uk/site/306878/,323969,686848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.91,58.09,5
306879,https://canmore.org.uk/site/306879/,327481,688647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.54,60.46,8
306880,https://canmore.org.uk/site/306880/,325828,686317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,8
306881,https://canmore.org.uk/site/306881/,326877,687539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.91,58.09,5
306882,https://canmore.org.uk/site/306882/,325454,687397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.06,78.94,17
306316,https://canmore.org.uk/site/306316/,333137,709185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,9.58,34.65,46.19,14
306317,https://canmore.org.uk/site/306317/,335293,703007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
306318,https://canmore.org.uk/site/306318/,336320,704229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
300333,https://canmore.org.uk/site/300333/,316525,691781,0.0,0.0,0.0,1.48,0.0,0.87,2.05,2.05,21.02,34.43,38.1,201
300334,https://canmore.org.uk/site/300334/,316489,692020,0.0,0.0,0.0,4.86,0.0,0.0,4.86,4.86,20.52,27.39,37.52,78
298416,https://canmore.org.uk/site/298416/,329304,682732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.37,56.63,70
305788,https://canmore.org.uk/site/305788/,359880,706219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.35,61.65,11
305795,https://canmore.org.uk/site/305795/,357346,704511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.62,62.38,14
305797,https://canmore.org.uk/site/305797/,356286,703442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,70.29,4
305801,https://canmore.org.uk/site/305801/,354909,702696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.57,66.43,16
305802,https://canmore.org.uk/site/305802/,353398,702645,0.0,0.0,0.0,0.0,0.0,14.54,14.54,14.54,14.54,17.51,24.34,91
305804,https://canmore.org.uk/site/305804/,351963,702991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.47,64.53,15
305806,https://canmore.org.uk/site/305806/,347475,703409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26,87.74,12
299640,https://canmore.org.uk/site/299640/,311054,686048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65,65.35,51
299646,https://canmore.org.uk/site/299646/,314277,694395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,17.39,35.45,39.8,19
299647,https://canmore.org.uk/site/299647/,311885,687163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
299655,https://canmore.org.uk/site/299655/,313055,688587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,93.03,23
299659,https://canmore.org.uk/site/299659/,313124,688070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.84,56.16,60
298026,https://canmore.org.uk/site/298026/,329346,683012,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,46.38,48.98,34
298027,https://canmore.org.uk/site/298027/,329229,683183,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,70.02,24
298016,https://canmore.org.uk/site/298016/,308792,687821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.17,82.83,8
299567,https://canmore.org.uk/site/299567/,337044,699380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.65,31.65,36.71,35
299568,https://canmore.org.uk/site/299568/,336947,699343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.65,31.65,36.71,35
299574,https://canmore.org.uk/site/299574/,308954,688114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,29.91,52.57,7
299575,https://canmore.org.uk/site/299575/,309029,688149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,29.91,52.57,7
299576,https://canmore.org.uk/site/299576/,309029,688087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,29.91,52.57,7
300788,https://canmore.org.uk/site/300788/,336622,699892,0.0,0.0,0.0,0.0,0.0,0.0,16.58,16.58,16.58,32.23,18.03,62
300789,https://canmore.org.uk/site/300789/,336645,699898,0.0,0.0,0.0,9.23,0.0,0.0,15.93,15.93,15.93,21.17,21.82,139
303211,https://canmore.org.uk/site/303211/,325439,707453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.85,28.15,28.15,21.85,42
297866,https://canmore.org.uk/site/297866/,329292,682917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,90.91,17
297869,https://canmore.org.uk/site/297869/,329242,682758,0.0,0.0,0.0,0.0,0.0,36.94,0.0,0.0,0.0,13.28,49.79,27
297870,https://canmore.org.uk/site/297870/,329472,682325,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,20
297871,https://canmore.org.uk/site/297871/,329577,682219,0.0,0.0,0.0,0.0,4.55,48.01,4.55,0.0,0.0,0.0,42.9,34
297872,https://canmore.org.uk/site/297872/,329628,682283,0.0,0.0,0.0,0.0,5.22,52.2,5.22,0.0,0.0,0.0,37.36,29
297873,https://canmore.org.uk/site/297873/,329563,682490,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,18
297874,https://canmore.org.uk/site/297874/,329530,682659,0.0,0.0,0.0,0.0,0.0,63.96,0.0,0.0,0.0,0.0,36.04,29
